轰堂大笑	哄堂大笑
顶礼模拜	顶礼膜拜
艰壁清野	坚壁清野
头昏脑胀	头昏脑涨
一麟半爪	一鳞半爪
一望无银	一望无垠
既使	即使
甜静	恬静
九洲	九州
更叠	更迭
万古常青	万古长青
不记其数	不计其数
要言不繁	要言不烦
纵恿	怂恿
正襟威坐	正襟危坐
表本兼治	标本兼治
密而不宣	秘而不宣
老声	老生
装钉	装订
朴朔迷离	扑朔迷离
留恋忘返	留连忘返
措火积薪	厝火积薪
巧立明目	巧立名目
彰善惮恶	彰善瘅恶
圆艺	园艺
松驰	松弛
穷穷孑立	穷穷茕立
因地治宜	因地制宜
爆乱	暴乱
诺大	偌大
迭床架屋	叠床架屋
弦律	旋律
暮蔼沉沉	暮霭沉沉
自学成才	自学成材
步履维坚	步履维艰
持才傲物	恃才傲物
名信片	明信片
躁热	燥热
旅力过人	膂力过人
眼花撩乱	眼花缭乱
以身作责	以身作则
惨绝人圜	惨绝人寰
蝉连冠军	蝉联冠军
强词夺礼	强词夺理
五彩斑烂	五彩斑斓
风彩动人	风彩动人
大伤原气	大伤元气
世无前例	史无前例
穷穷孑立	茕茕孑立
良秀	良莠
教悔	教诲
老陈持重	老成持重
投鼠计器	投鼠忌器
仲栽委员	仲裁委员
造形	造型
制肘	掣肘
入情入礼	入情入理
不惶顾及	不遑顾及
如梗在喉	如鲠在喉
符会	附会
拖踏	拖沓
繁文溽节	繁文缛节
严惩不待	严惩不贷
得垄望蜀	得陇望蜀
危言悚听	危言耸听
凋虫小技	雕虫小技
爱乌及屋	爱屋及屋
告馨	告罄
心劳日绌	心劳日绌
坦胸露臂	袒胸露臂
肓目	盲目
开天劈	开天辟
无忘之灾	无妄之灾
科头洗足	科头洗足
别出新裁	别出心裁
严阵以代	严阵以待
震聋发聩	振聋发聩
披红带花	披红戴花
山洪爆发	山洪暴发
默守成规	墨守成规
认罪服法	认罪伏法
礼上往来	礼尚往来
稠怅	惆怅
遨翔	翱翔
立杆见影	立竿见影
浪废金钱	浪费金钱
湎怀	缅怀
穷途没路	穷途没路
提心掉胆	提心吊胆
毗临	毗邻
一脉相成	一脉相承
各施其职	各施其职
显身说法	现身说法
反来复去	反来覆去
白壁微瑕	白璧微瑕
妄费心机	枉费心机
各行其事	各行其是
坐收鱼利	坐收渔利
恰商	洽商
膺品	赝品
危如磊卵	危如累卵
演译推理	演绎推理
震憾	震撼
斩钉接铁	斩钉截铁
鹤戾	鹤唳
舍身取义	舍生取义
观磨	观摩
莹光	荧光
顶力相助	鼎力相助
苍海桑田	沧海桑田
丰富多采	丰富多彩
诅丧	沮丧
震奋人心	振奋人心
响午	晌午
穿流不息	川流不息
厉厉在目	历历在目
星罗旗布	星罗棋布
风声鹤戾	风声鹤唳
指手划脚	指手画脚
降龙服虎	降龙伏虎
嫉恶如仇	疾恶如仇
爽心悦目	赏心悦目
宁缺毋烂	宁缺毋滥
三令五伸	三令五申
耳根清静	耳根清净
扇动暴乱	煽动暴乱
粗旷	粗犷
得不尝失	得不偿失
废尽心思	费尽心思
如法泡制	如法炮制
毁家抒难	毁家纾难
细枝末结	细枝末节
开诚不公	开诚布公
陷井	陷阱
绿草如荫	绿草如茵
半途而费	半途而废
骠悍	剽悍
明火执杖	明火执仗
势如爆竹	势如破竹
煤汽机	煤气机
开中明义	开宗明义
契而不舍	锲而不舍
肿涨	胀涨
心心相应	心心相印
箴口不言	箴口不言
羽扇伦巾	羽扇纶巾
黯无天日	暗无天日
浑玉朴金	浑玉璞金
坐阵	坐镇
演译	演绎
九洲方圆	九州方圆
食不裹腹	食不果腹
雕彻	雕彻
气慨	气概
同等学历	同等学力
暗然销魂	黯然销魂
置若惘闻	置若罔闻
坦城	坦诚
至理明言	至理名言
以偏盖全	以偏概全
余勇可沽	余勇可沽
珠连璧合	珠联璧合
腊纸	蜡纸
扬扬洒洒	洋洋洒洒
张惶失措	张皇失措
重重迭迭	重重叠叠
困兽尤斗	困兽犹斗
山青水秀	山清水秀
屯积居奇	囤积居奇
以身徇国	以身殉国
延袭成规	沿袭成规
晃子	幌子
深致欠意	深致歉意
脸色杀白	脸色煞白
纷至踏来	纷至沓来
浅尝则止	浅尝则止
欢呼鹊跃	欢呼雀跃
一应具全	一应俱全
试目以待	拭目以待
廖若晨星	寥若晨星
防碍	妨碍
重迭	重叠
大才小用	大材小用
九宵	九霄
恢谐	诙谐
浮光略影	浮光掠影
乌烟脏气	乌烟瘴气
改斜归正	改邪归正
投投是道	头头是道
爱乌及屋	爱屋及乌
锁屑	琐屑
莫中一是	莫衷一是
掘起	崛起
忘夫所以	忘乎所以
运筹惟幄	运筹帷幄
性格粗旷	性格粗旷
义气风发	意气风发
各施其职	各司其职
蔽病	弊病
奕棋	弈棋
奢糜	奢靡
抓耳扰腮	抓耳扰腮
万冠家财	万贯家财
不共带天	不共戴天
鬼域技俩	鬼蜮技俩
老声常谈	老生常谈
因才施教	因材施教
永决	永诀
茫无头序	茫无头绪
心安礼得	心安理得
治丝益纷	治丝益棼
愤发	奋发
名门旺族	名门望族
不寒而立	不寒而栗
标柄千古	彪柄千古
明查暗访	明察暗访
证卷	证券
退化变质	蜕化变质
远大报负	远大抱负
死不冥目	死不瞑目
大放獗词	大放厥词
脑火	恼火
敬配	敬佩
谆谆告戒	谆谆告诫
编篡	编纂
杂杳	杂沓
火山暴发	火山爆发
肖象	肖像
偷工简料	偷工减料
学识休养	学识修养
语无论次	语无伦次
处心集虑	处心积虑
凉干	晾干
蓄意抱复	蓄意报复
先发治人	先发制人
灸手可热	炙手可热
床第	床笫
仗义直言	仗义执言
惩一禁百	惩一儆百
罢绌百家	黜绌百家
报怨不堪	抱怨不堪
格守	恪守
炫目	眩目
淄铢必较	锱铢必较
生死悠关	生死攸关
词不达义	词不达意
深明大意	深明大义
劈谣	辟谣
幅圆辽阔	幅员辽阔
金刚努目	金刚怒目
栽脏陷害	栽赃陷害
一股作气	一鼓作气
瞻养	赡养
斩将骞旗	斩将骞旗
循序前进	循序前进
手屈一指	首屈一指
题纲挈领	提纲挈领
自我吹吁	自我吹嘘
做为 作为
全愈	痊愈
胀红了脸	涨红了脸
口干舌躁	口干舌燥
沧茫大海	苍茫大海
插科打浑	插科打诨
前扑后继	前仆后继
甘败下风	甘拜下风
作歇时间	作息时间
桀傲不驯	骜傲不驯
描模	描摹
歌舞生平	歌舞升平
以德抱怨	以德报怨
一杯	一杯
前踞后恭	前倨后恭
厉精图治	励精图治
回光反照	回光返照
纵横捭合	纵横捭阖
强焊	强悍
消声匿迹	销声匿迹
屈意逢迎	曲意逢迎
魁丽	瑰丽
尽心极力	尽心竭力
趁心如意	称心如意
材华	才华
一泄千里	一泻千里
勉厉	勉励
开源截流	开源节流
肆业	肄业
誉写文章	誊写文章
直抒胸意	直抒胸臆
杂踏	杂沓
声名雀起 	声名鹊起
义无返顾	义无反顾
付之东流	付诸东流
戳力同心	戮力同心
令人目炫	令人目眩
急燥	急躁
磬竹难书	罄竹难书
斩将骞旗	斩将搴旗
官运享通	官运亨通
根深底固	根深蒂固
祖传密方	祖传秘方
弃甲拽兵	弃甲拽兵
穿串	穿插
发号司令	发号司令
冒然	贸然
天下糜然	天下靡然
自立更生	自力更生
蔽帚自珍	敝帚自珍
天经地仪	天经地义
支无其词	支吾其词
壅荣华贵	雍荣华贵
摇摇欲堕	摇摇欲坠
陨身不恤	殒身不恤
疾贤妒能	嫉贤妒能
歇事宁人	歇事宁人
略夺	掠夺
估息	姑息
纲纪废驰	纲纪废弛
面面具到	面面俱到
佼洁	皎洁
铺张扬利	铺张扬厉
张惶	张皇
杀君夺位	弑君夺位
举一返三	举一反三
供献巨大	贡献巨大
一笔钩销	一笔勾销
杀费苦心	煞费苦心
勘平叛乱	戡平叛乱
冷不妨	冷不防
吊虎离山	调虎离山
巧装打扮	乔装打扮
势均力抵	势均力敌
计日成功	计日程功
讫今为止	迄今为止
一诺千斤	一诺千金
寒喧	寒暄
报消	报销
修养生息	休养生息
沏澈	清澈
估名钓誉	沽名钓誉
仓桑	沧桑
渊远流长	源远流长
余勇可沽	余勇可贾
宁死不曲	宁死不屈
振济灾民	赈济灾民
五彩斑烂	五彩斓烂
狂忘	狂妄
既往开来	继往开来
卫戌	卫戍
春光溶溶	春光融融
专心至志	专心致致
接恰	接洽
风糜一时	风靡一时
模范事绩	模范事迹
份內之事	分內之事
精精业业	兢兢业业
层峦迭障	层峦叠障
脱颍而出	脱颖而出
文笔奇倔	文笔奇崛
教梭	教唆
虚座以待	虚左以待
怆皇	仓皇
热涨冷缩	热胀冷缩
动则得咎	动则得咎
味同嚼腊	味同嚼蜡
追朔	追溯
下车一始	下车伊始
婷婷玉立	亭亭玉立
朦懂无知	懵懂无知
不可思异	不可思议
焕散	涣散
沤心沥血	呕心沥血
钓消执照	吊销执照
暗然	黯然
修茸一新	修葺一新
不明一文	不名一文
