yi1 一伊依倚医壹崎意揖椅衣
yi2 一也仪台听夷姨它宜异怠熙疑移羡胰蛇遗
yi4 一义乙亦亿医印夕失奕射屹异役忆意抑施易毅泄溢疙疫益移绎翼肄艺艾衣议译谊逸邑隶食
ding1 丁叮灯盯钉
zheng1 丁争征怔挣政正狰症睁筝蒸趟
qi1 七凄吃嘁妻宿戚期柒栖欺溪漆
qi2 七其勤奇崎技抵支旗枝棋歧畦畸示祈脐荠逗骑鳍齐
wan4 万腕蔓
mo4 万伯冒勿嘿墨寞帕抹昧末没沫漠百磨脉茉莫藐蟆袜貌陌默
zhang4 丈仗帐杖涨章胀账障
san1 三叁散
shang4 上尚
shang3 上晌赏
xia4 下假厦吓呼唬夏暇
bu4 不埠布怖步簿薄部附
fou3 不否
fou1 不
fu1 不傅夫孵敷甫肤附麸
bu2 不
yu3 与予宇屿愉梧羽芋语雨
yu4 与余吁喻域奥宛寓尉御愈懊或拗昙欲浴澳狱玉王粥育舒芋蔚衙裕誉语谷豫遇郁雨预
yu2 与予于亏余喻娱愉愚榆渔舆芋衙逾隅鱼
gai4 丐概汽溉盖芥钙
chou3 丑扭
zhuan1 专砖
qie3 且
ju1 且仇俱告娶居拘据沮租蛆车锯鞠驹
cu2 且
shi4 世事似侍势嗜士室寺市式恃拭是柿殖氏液示肢舍视誓识试赫适逝释饰
qiu1 丘秋蚯龟
bing3 丙屏柄禀秉饼
bing4 丙屏平并拼病
ye4 业叶咽喝夜射掖液腋谒页
cong2 丛从
dong1 东冬
si1 丝司嘶徙思撕斯析私
diu1 丢
liang3 两俩良
yan2 严厂岩巡延檐沿炎狠癌盐研羡蜒衍言铅阎颜
sang4 丧
sang1 丧桑
ge4 个介各
ge3 个各合盖葛
gan4 个干杆竿
zhong1 中忠盅童终蚣衷钟
zhong4 中仲众种衷重
feng1 丰封峰方枫疯蚌蜂锋风
chuan4 串穿
guan4 串冠惯果棺灌罐观贯
quan4 串券劝
lin2 临林淋琳磷邻鳞
wan2 丸园完玩顽
dan1 丹单担檐耽
wei4 为位卫味喂委尉慰未机猬畏立胃萎蔚谓遗魏
wei2 为于唯围堤桅维违魏
zhu3 主嘱属拄斗柱煮
zhu4 主予住助宁庶柠柱泞注祝筑著蛀贮逗铸阻除驻
li4 丽位例俐列利力励历厉吏哩栗沥泣痢砾立粒荔莉隶雳
li2 丽厘梨漓犁狸璃离篱莉黎
ju3 举拒拘柜沮矩
nai3 乃哪奶那
ai3 乃唉奇矮蔼
jiu3 久九灸玖酒韭
me 么末没
yao1 么吆咬夭妖由约腰要邀
mo2 么摩摸摹无模磨膜蘑馍魔
ma 么吗
zhi1 之只吱指掷支智枝氏汁知织肢脂芝蜘
zhu1 之朝朱株猪珠蛛诸
zhi4 之制埃帜志恃挚掷支昵智治滞知示秩稚窒置至致识质
wu1 乌呜屋巫恶污诬
wu4 乌务勿坞恶悟晤梧物误雾
zha4 乍册哆栅榨炸蜡诈
zuo4 乍作做凿坐座挫醋
hu1 乎呼忽戏糊
fa2 乏伐拔泛筏罚阀
le4 乐勒
yue4 乐岳悦月粤蜕说越跃钥阅
ping1 乒砰
pang1 乓磅膀
qiao2 乔侨憔招桥焦瞧翘荞蕉
guai1 乖
cheng2 乘呈城惩成承橙澄盛盯程诚趟醒
sheng4 乘剩圣甸盛胜
yi3 乙以依倚叹奇尾已椅汽蚁蛾
jue2 乙倔决嚼屈掘爵狂穴绝脚蛙觉角诀
jiu1 九愁揪救究纠鸠
qi3 乞企启岂崎己气稽起
qi4 乞切刺吱器契妻弃揭气汽泣砌迄
ye3 也冶墅野
xi2 习媳席袭
xiang1 乡厢湘相箱镶香
shu1 书叔娶抒朱枢梳殊淑疏舒蔬豫输透除
mai3 买咪
luan4 乱
ru3 乳女辱
qian2 乾前柑潜筋赶钱钳黔
gan1 乾奸干杆柑汗甘竿肝
le 了
liao3 了僚撩潦燎瞭
liao4 了嘹撩料燎瞭镣
zi4 事姿字柴自
er4 二贰
yu1 于吁淤迂
xu1 于吁呼芋虚需须
kui1 亏盔窥
yun2 云匀员耘
hu4 互户护沪糊羽芦苦虎雇
wu3 五伍侮午捂武母舞鹉
jing3 井景睛警阱颈
jing4 井净劲境径敬竞竟精经镜靖静
ya4 亚压御歇牙讶轧
xie1 些楔歇蝎
suo4 些
suo1 些唆嗦抄梭沙缩衰
wang2 亡妄忘王芒
wu2 亡吴捂无梧母芜蜈
jiao1 交咬娇教椒浇激焦礁胶蕉郊骄
hai4 亥害骇
jie1 亥差担接揭楷皆祖秸结节街阶
chan3 产铲阐
mu3 亩姆姥拇母牡
xiang3 享响想攘
